GeogName,boro_cd,Count,Population,Median Household income,SNAP,Below Poverty level,Center per pop
MN01 Financial District-Tribeca (CD 1 Equivalent),101,1,"71,865","200,000",993,"4,172",71865
MN02 Greenwich Village-SoHo (CD 2 Equivalent),102,7,"86,202","157,525","1,720","6,161",12315
MN03 Lower East Side-Chinatown (CD 3 Equivalent),103,12,"153,288","58,967","19,576","36,039",12774
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),104,9,"117,099","116,306","6,378","14,205",13011
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),105,8,"51,619","167,989","1,868","6,232",6452
MN06 East Midtown-Murray Hill (CD 6 Approximation),106,0,"145,360","154,907","2,887","11,892",0
MN07 Upper West Side (CD 7 Approximation),107,9,"218,761","144,026","7,363","23,628",24307
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),108,9,"212,308","153,866","4,430","15,337",23590
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),109,13,"112,774","65,048","9,251","25,174",8675
MN10 Harlem (CD 10 Equivalent),110,19,"134,893","59,061","13,974","32,066",7100
MN11 East Harlem (CD 11 Equivalent),111,14,"124,499","40,975","16,004","39,168",8893
MN12 Washington Heights-Inwood (CD 12 Equivalent),112,9,"188,591","67,024","21,178","31,912",20955
MN64 Central Park (JIA 64 Equivalent),164,0,0,,0,0,0
BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),201,15,"96,910","31,296","19,634","38,169",6461
BX02 Longwood-Hunts Point (CD 2 Approximation),202,7,"55,126","39,739","9,486","17,524",7875
BX03 Morrisania-Crotona Park East (CD 3 Approximation),203,12,"87,924","33,688","16,839","32,257",7327
BX04 Highbridge-Concourse (CD 4 Approximation),204,11,"149,631","42,143","26,016","47,378",13603
BX05 Morris Heights-Mount Hope (CD 5 Approximation),205,11,"133,897","39,638","22,229","43,792",12172
BX06 Tremont-Belmont-West Farms (CD 6 Approximation),206,6,"87,093","33,090","17,170","32,126",14516
BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),207,6,"136,125","46,185","20,483","35,704",22688
BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),208,2,"105,777","75,226","8,566","17,738",52889
BX09 Soundview-Parkchester (CD 9 Approximation),209,14,"170,654","50,178","20,719","44,268",12190
BX10 Co-op City-Throgs Neck (CD 10 Approximation),210,4,"128,362","70,292","9,360","17,835",32091
BX11 Pelham Parkway-Morris Park (CD 11 Approximation),211,2,"113,982","65,063","11,159","19,596",56991
BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),212,13,"160,621","66,304","15,516","31,794",12355
BX26 Van Cortlandt Park (JIA 26 Equivalent),226,0,56,"106,249",0,10,0
BX27 Bronx Park (JIA 27 Approximation),227,0,26,"67,498",4,2,0
BX28 Pelham Bay Park (JIA 28 Approximation),228,0,57,"45,499",0,15,0
BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301,3,"203,002","102,807","16,139","43,813",67667
BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302,7,"125,637","145,094","6,153","14,642",17948
BK03 Bedford-Stuyvesant (CD 3 Approximation),303,22,"180,283","77,546","16,774","45,735",8195
BK04 Bushwick (CD 4 Equivalent),304,10,"111,975","83,441","9,688","23,660",11198
BK05 East New York-Cypress Hills (CD 5 Approximation),305,24,"201,036","54,145","25,720","46,365",8377
BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306,9,"121,009","165,947","4,423","10,430",13445
BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307,5,"120,253","84,767","7,654","22,018",24051
BK08 Crown Heights (North) (CD 8 Approximation),308,9,"109,719","90,978","8,634","18,369",12191
BK09 Crown Heights (South) (CD 9 Approximation),309,11,"97,675","73,751","8,347","17,079",8880
BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),310,2,"125,053","87,994","6,479","17,391",62527
BK11 Bensonhurst-Bath Beach (CD 11 Approximation),311,8,"182,754","68,756","15,413","33,122",22844
BK12 Borough Park-Kensington (CD 12 Approximation),312,7,"194,695","67,808","15,222","47,291",27814
BK13 Coney Island-Brighton Beach (CD 13 Approximation),313,8,"110,145","45,489","17,447","26,362",13768
BK14 Flatbush-Midwood (CD 14 Approximation),314,11,"159,561","80,062","13,211","25,038",14506
BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315,3,"156,462","74,164","11,601","24,224",52154
BK16 Ocean Hill-Brownsville (CD 16 Approximation),316,14,"97,145","42,086","15,109","31,640",6939
BK17 East Flatbush (CD 17 Approximation),317,26,"157,180","68,394","13,538","25,167",6045
BK18 Canarsie-Flatlands (CD 18 Approximation),318,13,"192,709","86,729","10,419","22,408",14824
